"Year","Neighborhood Tabulation Area NTA)","Neighborhood Tabulation Area (NTA) Name","Supply Gap (lbs.)","Food Insecure Percentage","Unemployment Rate","Vulnerable Population Score","Weighted Score","Rank"
"2025","BK1702","East Flatbush-Farragut","-311,007.767624975","13.38%","9.66%","0.56","5.52621102944","148"
"2025","BK1801","Flatlands","-2,330,039.34529109","12.64%","7.93%","0.52","2.34484180104","192"
"2025","BK1803","Canarsie","-3,437,224.58032827","12.20%","7.55%","0.52","1.78848947571","196"
"2025","BX0202","Longwood","-797,194.90866576","29.78%","14.72%","0.55","4.94789207872","167"
"2024","BK0101","Greenpoint","897,731.135091653","12.63%","0.07%","0.12","5.64915049192","82"
"2024","BK0102","Williamsburg","1,355,335.72556027","16.60%","0.06%","0.13","6.14492574811","42"
"2024","BK0103","South Williamsburg","1,055,387.58648404","14.54%","0.09%","0.08","6.4040587775","26"
"2022","BK44","Madison","643,644.796569599",,"0.08%",,"6.70125","78"
"2024","BK0104","East Williamsburg","3,722,441.29073862","35.99%","0.06%","0.12","8.22096493452","1"
"2024","BK0201","Brooklyn Heights","333,889.897295095","8.96%","0.04%","0.10","4.69222256179","164"
"2024","BK0202","Downtown Brooklyn-DUMBO-Boerum Hill","-13,128.3120376705","13.93%","0.06%","0.14","4.55854861516","170"
"2024","BK0203","Fort Greene","327,874.986617178","17.39%","0.08%","0.11","5.70235644778","75"
"2024","BK0204","Clinton Hill","432,144.914647724","17.89%","0.08%","0.10","5.7683506142","71"
"2024","BK0301","Bedford-Stuyvesant (West)","232,533.459775219","15.52%","0.08%","0.10","5.56316877955","92"
"2024","BK0302","Bedford-Stuyvesant (East)","-2,466,102.1283639","17.27%","0.09%","0.10","3.29730895584","191"
"2024","BK0401","Bushwick (West)","708,798.961012008","16.53%","0.07%","0.16","5.95025178167","56"
"2024","BK0402","Bushwick (East)","-373,365.51476811","15.23%","0.08%","0.14","5.07323645658","133"
"2024","BK0501","Cypress Hills","-1,166,484.43704641","14.02%","0.05%","0.17","4.2372545189","179"
"2024","BK0502","East New York (North)","-1,523,623.21950544","15.79%","0.10%","0.14","4.38305452549","175"
